quantity,value
label,results_eft68_c6f20_c8f40_f779p556_mh125_Glauber_C6p58212_Lambda2000
model_parameters.c6_over_f2_TeV2,0.0
model_parameters.c8_over_f4_TeV4,0.0
model_parameters.f_GeV,779.5555320143204
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,True
model_parameters.C_glauber,6.582121212121212
model_parameters.Lambda_glauber,2000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,0.12909808976138543
derived_tree_coefficients.mu2_tree_GeV2,7812.5
derived_tree_coefficients.a0_mean_field,0.3998252334093464
derived_tree_coefficients.glauber_t0,0.09958091181818182
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-1.224477857549646
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,666563.8406577999
derived_tree_coefficients.combo_TeV2,0.0
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10.0, 779.5555320143204)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,False
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,65.15620208176402
key_temperatures.Tc,82.3881158747257
key_temperatures.Ts_false,49.14905622125375
key_temperatures.Ts_true,93.8186406249997
key_temperatures.S_at_Tn,9120.568235723013
key_temperatures.S_over_Tn,139.98004709172093
key_temperatures.false_phase_key,1
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-0.0011095923687081796
key_temperatures.phi_true_Tn,237.4256909887739
key_temperatures.vTn_over_Tn,3.6439461387087944
key_temperatures.Tc_minus_Tn_over_Tc,0.20915533278080378
gw_scales.gw_T_star_GeV,65.15620208176402
gw_scales.gw_alpha,0.05741933958669475
gw_scales.gw_beta_over_H,841.5204679742891
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,10.55243763123881
gw_peaks.sw.f_peak_Hz,0.01055243763123881
gw_peaks.sw.omega_peak,2.201199498785648e-15
gw_peaks.turb.f_peak_mHz,18.06677907556844
gw_peaks.turb.f_peak_Hz,0.018066779075568442
gw_peaks.turb.omega_peak,1.5993045586488485e-19
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,10.55243763123881
gw_peaks.total.f_peak_Hz,0.01055243763123881
gw_peaks.total.omega_peak,2.2013400622921213e-15
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,9120.546644482456
S3_over_T,139.97971571512335
bounce_diagnostics.label,results_eft68_c6f20_c8f40_f779p556_mh125_Glauber_C6p58212_Lambda2000
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-0.0011095923687081796
bounce_diagnostics.phi_absMin,237.4256909887739
bounce_diagnostics.phi_bar,115.88651593416697
bounce_diagnostics.phi_top,79.58987720160377
bounce_diagnostics.V(phi_meta),-51497744.72241956
bounce_diagnostics.V(phi_true),-71517061.14599666
bounce_diagnostics.V(phi_top),-50436885.96682916
bounce_diagnostics.DeltaV_true_minus_meta,-20019316.4235771
bounce_diagnostics.r0,3.154710283811763e-06
bounce_diagnostics.phi0,229.4778091209986
bounce_diagnostics.dphi0,-0.08858660081923321
bounce_diagnostics.rscale_cubic,0.03154710283811763
bounce_diagnostics.rscale_curv,0.029363983046833134
bounce_diagnostics.wall_r_hi,0.10817473175432818
bounce_diagnostics.wall_thickness,0.07967387208345182
bounce_diagnostics.S_total,9120.546644482456
bounce_diagnostics.S_kin,13675.564457123415
bounce_diagnostics.S_pot,-4555.017812640961
bounce_diagnostics.S_interior,0.0
bounce_diagnostics.S3_over_T,nan
