quantity,value
label,results_eft68_c6f22p94949_c8f45_f1000_mh125_Glauber_off
model_parameters.c6_over_f2_TeV2,2.9494949494949494
model_parameters.c8_over_f4_TeV4,5.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,False
model_parameters.C_glauber,0.0
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,-0.16610576170406907
derived_tree_coefficients.mu2_tree_GeV2,-1396.8042169768405
derived_tree_coefficients.a0_mean_field,0.25222330767661916
derived_tree_coefficients.glauber_t0,0.0
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.16610576170406907
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,-1396.8042169768405
derived_tree_coefficients.combo_TeV2,6.806729898989898
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10, 1000.0)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,True
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,75.25642696268243
key_temperatures.Tc,92.10577789585176
key_temperatures.Ts_false,44.00662832030728
key_temperatures.Ts_true,94.67944140624967
key_temperatures.S_at_Tn,10539.529533284049
key_temperatures.S_over_Tn,140.04823187407382
key_temperatures.false_phase_key,2
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-4.587694095901772e-05
key_temperatures.phi_true_Tn,230.964975960481
key_temperatures.vTn_over_Tn,3.069039885125162
key_temperatures.Tc_minus_Tn_over_Tc,0.18293478778521005
gw_scales.gw_T_star_GeV,75.25642696268243
gw_scales.gw_alpha,0.03045073612916595
gw_scales.gw_beta_over_H,832.861170178885
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,12.117215611000251
gw_peaks.sw.f_peak_Hz,0.012117215611000251
gw_peaks.sw.omega_peak,3.961893369575171e-16
gw_peaks.turb.f_peak_mHz,20.42953815613841
gw_peaks.turb.f_peak_Hz,0.020429538156138412
gw_peaks.turb.omega_peak,2.8787571193341773e-20
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,12.117215611000251
gw_peaks.total.f_peak_Hz,0.012117215611000251
gw_peaks.total.omega_peak,3.9621469324578193e-16
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,10543.250565835004
S3_over_T,140.09767658864683
bounce_diagnostics.label,results_eft68_c6f22p94949_c8f45_f1000_mh125_Glauber_off
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-4.587694095901772e-05
bounce_diagnostics.phi_absMin,230.964975960481
bounce_diagnostics.phi_bar,117.38053818394478
bounce_diagnostics.phi_top,79.5360180153515
bounce_diagnostics.V(phi_meta),-82917760.22691175
bounce_diagnostics.V(phi_true),-99708595.30551302
bounce_diagnostics.V(phi_top),-81550612.01578529
bounce_diagnostics.DeltaV_true_minus_meta,-16790835.07860127
bounce_diagnostics.r0,2.7770306316979345e-06
bounce_diagnostics.phi0,224.48086135915648
bounce_diagnostics.dphi0,-0.05525054802787145
bounce_diagnostics.rscale_cubic,0.027770306316979344
bounce_diagnostics.rscale_curv,0.026548422587388598
bounce_diagnostics.wall_r_hi,0.11147301475692545
bounce_diagnostics.wall_thickness,0.07794778429995913
bounce_diagnostics.S_total,10543.250565835004
bounce_diagnostics.S_kin,15826.768750816173
bounce_diagnostics.S_pot,-5283.518184981169
bounce_diagnostics.S_interior,0.0
bounce_diagnostics.S3_over_T,nan
bounce_diagnostics.beta_rscale,36.00968561836061
bounce_diagnostics.beta_curvature,37.667020715401
bounce_diagnostics.beta_wall,12.829101031939459
bounce_diagnostics.Tn_from_transitionFinder_GeV,75.25642696268243
bounce_diagnostics.Tc_from_transitionFinder_GeV,92.10577789585176
bounce_diagnostics.T_spinodal_high_GeV,nan
bounce_diagnostics.T_spinodal_low_GeV,nan
bounce_diagnostics.gw_T_star_GeV,75.25642696268243
bounce_diagnostics.gw_alpha,0.03045073612916595
bounce_diagnostics.gw_beta_over_H,832.861170178885
bounce_diagnostics.gw_R_star_times_H,nan
bounce_diagnostics.gw_Gamma_Tstar_GeV4,nan
bounce_diagnostics.gw_dT_for_beta_GeV,nan
bounce_diagnostics.gw_f_sw_peak_Hz,nan
bounce_diagnostics.gw_f_turb_peak_Hz,nan
bounce_diagnostics.gw_f_coll_peak_Hz,nan
bounce_diagnostics.gw_g_star,106.75
bounce_diagnostics.gw_v_w,1.0
bounce_diagnostics.omega_sw_peak,nan
bounce_diagnostics.omega_turb_peak,nan
bounce_diagnostics.omega_coll_peak,nan
bounce_diagnostics.omega_tot_peak,nan
