quantity,value
label,results_eft68_c6f22_c8f40_f1000_mh125_Glauber_C2p78167_Lambda1000
model_parameters.c6_over_f2_TeV2,2.0
model_parameters.c8_over_f4_TeV4,0.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,True
model_parameters.C_glauber,2.7816666666666667
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,-0.05244991023861459
derived_tree_coefficients.mu2_tree_GeV2,2319.220616
derived_tree_coefficients.a0_mean_field,0.30905123340934637
derived_tree_coefficients.glauber_t0,0.16833534
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.3358199565506914
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,69892.97500613483
derived_tree_coefficients.combo_TeV2,4.0
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10.0, 599.5804404861294)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,False
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,76.07896607100741
key_temperatures.Tc,89.45095498098111
key_temperatures.Ts_false,57.62678242187086
key_temperatures.Ts_true,97.06877148437462
key_temperatures.S_at_Tn,10643.843776551566
key_temperatures.S_over_Tn,139.90521068092932
key_temperatures.false_phase_key,1
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-0.0002130104809524068
key_temperatures.phi_true_Tn,230.06033248743688
key_temperatures.vTn_over_Tn,3.023967653197505
key_temperatures.Tc_minus_Tn_over_Tc,0.14948961598919566
gw_scales.gw_T_star_GeV,76.07896607100741
gw_scales.gw_alpha,0.030235206459145635
gw_scales.gw_beta_over_H,1242.7010435684804
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,18.06677907556844
gw_peaks.sw.f_peak_Hz,0.018066779075568442
gw_peaks.sw.omega_peak,1.7447476086507126e-16
gw_peaks.turb.f_peak_mHz,30.932047889969677
gw_peaks.turb.f_peak_Hz,0.03093204788996968
gw_peaks.turb.omega_peak,1.267733399285451e-20
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,18.06677907556844
gw_peaks.total.f_peak_Hz,0.018066779075568442
gw_peaks.total.omega_peak,1.744858644054659e-16
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,10658.677879314251
S3_over_T,140.10019365097705
bounce_diagnostics.label,results_eft68_c6f22_c8f40_f1000_mh125_Glauber_C2p78167_Lambda1000
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-0.0002130104809524068
bounce_diagnostics.phi_absMin,230.06033248743688
bounce_diagnostics.phi_bar,116.73623707969006
bounce_diagnostics.phi_top,79.23815345930613
bounce_diagnostics.V(phi_meta),-88518590.85746446
bounce_diagnostics.V(phi_true),-103722151.94139472
bounce_diagnostics.V(phi_top),-87422135.19180192
bounce_diagnostics.DeltaV_true_minus_meta,-15203561.083930254
bounce_diagnostics.r0,3.089330347200152e-06
bounce_diagnostics.phi0,224.20458649967725
bounce_diagnostics.dphi0,-0.054183519326338955
bounce_diagnostics.rscale_cubic,0.030893303472001518
bounce_diagnostics.rscale_curv,0.029291234316372452
bounce_diagnostics.wall_r_hi,0.11848869076542191
bounce_diagnostics.wall_thickness,0.08300512062265372
bounce_diagnostics.S_total,10658.677879314251
bounce_diagnostics.S_kin,15981.640088353433
bounce_diagnostics.S_pot,-5322.962209039181
bounce_diagnostics.S_interior,0.0
bounce_diagnostics.S3_over_T,nan
bounce_diagnostics.beta_rscale,32.36947453373823
bounce_diagnostics.beta_curvature,34.13991785912947
bounce_diagnostics.beta_wall,12.047449512736211
bounce_diagnostics.Tn_from_transitionFinder_GeV,76.07896607100741
bounce_diagnostics.Tc_from_transitionFinder_GeV,89.45095498098111
bounce_diagnostics.T_spinodal_high_GeV,nan
bounce_diagnostics.T_spinodal_low_GeV,nan
bounce_diagnostics.gw_T_star_GeV,76.07896607100741
bounce_diagnostics.gw_alpha,0.030235206459145635
bounce_diagnostics.gw_beta_over_H,1242.7010435684804
bounce_diagnostics.gw_R_star_times_H,nan
bounce_diagnostics.gw_Gamma_Tstar_GeV4,nan
bounce_diagnostics.gw_dT_for_beta_GeV,nan
bounce_diagnostics.gw_f_sw_peak_Hz,nan
bounce_diagnostics.gw_f_turb_peak_Hz,nan
bounce_diagnostics.gw_f_coll_peak_Hz,nan
bounce_diagnostics.gw_g_star,106.75
bounce_diagnostics.gw_v_w,1.0
bounce_diagnostics.omega_sw_peak,nan
bounce_diagnostics.omega_turb_peak,nan
bounce_diagnostics.omega_coll_peak,nan
bounce_diagnostics.omega_tot_peak,nan
