quantity,value
label,results_eft68_c6f23p375_c8f40_f1000_mh125_Glauber_C1_Lambda1000
model_parameters.c6_over_f2_TeV2,3.375
model_parameters.c8_over_f4_TeV4,0.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,True
model_parameters.C_glauber,1.0
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,-0.17726416023861452
derived_tree_coefficients.mu2_tree_GeV2,-1457.4089604999972
derived_tree_coefficients.a0_mean_field,0.24664410840934642
derived_tree_coefficients.glauber_t0,0.060516
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.20596281150277782
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,23767.787143859096
derived_tree_coefficients.combo_TeV2,6.75
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10.0, 1000.0)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,False
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,69.47769535502839
key_temperatures.Tc,89.30782346652097
key_temperatures.Ts_false,31.495983203118808
key_temperatures.Ts_true,93.6644746093747
key_temperatures.S_at_Tn,9732.999303945086
key_temperatures.S_over_Tn,140.0881139509569
key_temperatures.false_phase_key,2
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-0.00018980506564014168
key_temperatures.phi_true_Tn,234.4892531072411
key_temperatures.vTn_over_Tn,3.375029236491077
key_temperatures.Tc_minus_Tn_over_Tc,0.22204245206945783
gw_scales.gw_T_star_GeV,69.47769535502839
gw_scales.gw_alpha,0.042834527727832465
gw_scales.gw_beta_over_H,662.3756351293034
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,8.775786958281639
gw_peaks.sw.f_peak_Hz,0.008775786958281639
gw_peaks.sw.omega_peak,1.606698610311487e-15
gw_peaks.turb.f_peak_mHz,15.024983774380862
gw_peaks.turb.f_peak_Hz,0.015024983774380862
gw_peaks.turb.omega_peak,1.167474160388616e-19
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,8.775786958281639
gw_peaks.total.f_peak_Hz,0.008775786958281639
gw_peaks.total.omega_peak,1.6068007593477858e-15
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,9732.4430041195
S3_over_T,140.08010706726935
bounce_diagnostics.label,results_eft68_c6f23p375_c8f40_f1000_mh125_Glauber_C1_Lambda1000
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-0.00018980506564014168
bounce_diagnostics.phi_absMin,234.4892531072411
bounce_diagnostics.phi_bar,116.9162332320828
bounce_diagnostics.phi_top,79.58051368223906
bounce_diagnostics.V(phi_meta),-59267851.46762602
bounce_diagnostics.V(phi_true),-78995885.19139989
bounce_diagnostics.V(phi_top),-57798982.6116892
bounce_diagnostics.DeltaV_true_minus_meta,-19728033.723773867
bounce_diagnostics.r0,2.6806532315537976e-06
bounce_diagnostics.phi0,226.92752427181546
bounce_diagnostics.dphi0,-0.06848049244361074
bounce_diagnostics.rscale_cubic,0.026806532315537975
bounce_diagnostics.rscale_curv,0.02558219942029066
bounce_diagnostics.wall_r_hi,0.10433771301528798
bounce_diagnostics.wall_thickness,0.07459103947110164
bounce_diagnostics.S_total,9732.4430041195
bounce_diagnostics.S_kin,14600.42071409336
bounce_diagnostics.S_pot,-4867.977709973862
bounce_diagnostics.S_interior,0.0
bounce_diagnostics.S3_over_T,nan
bounce_diagnostics.beta_rscale,37.304340159669444
bounce_diagnostics.beta_curvature,39.08968320694174
bounce_diagnostics.beta_wall,13.406436042326826
bounce_diagnostics.Tn_from_transitionFinder_GeV,69.47769535502839
bounce_diagnostics.Tc_from_transitionFinder_GeV,89.30782346652097
bounce_diagnostics.T_spinodal_high_GeV,nan
bounce_diagnostics.T_spinodal_low_GeV,nan
bounce_diagnostics.gw_T_star_GeV,69.47769535502839
bounce_diagnostics.gw_alpha,0.042834527727832465
bounce_diagnostics.gw_beta_over_H,662.3756351293034
bounce_diagnostics.gw_R_star_times_H,nan
bounce_diagnostics.gw_Gamma_Tstar_GeV4,nan
bounce_diagnostics.gw_dT_for_beta_GeV,nan
bounce_diagnostics.gw_f_sw_peak_Hz,nan
bounce_diagnostics.gw_f_turb_peak_Hz,nan
bounce_diagnostics.gw_f_coll_peak_Hz,nan
bounce_diagnostics.gw_g_star,106.75
bounce_diagnostics.gw_v_w,1.0
bounce_diagnostics.omega_sw_peak,nan
bounce_diagnostics.omega_turb_peak,nan
bounce_diagnostics.omega_coll_peak,nan
bounce_diagnostics.omega_tot_peak,nan
