quantity,value
label,results_eft68_c6f21p23167_c8f45_f1000_mh125_Glauber_C3p2_Lambda1000
model_parameters.c6_over_f2_TeV2,1.2316666666666665
model_parameters.c8_over_f4_TeV4,5.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,True
model_parameters.C_glauber,3.2
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,-0.01017161715861455
derived_tree_coefficients.mu2_tree_GeV2,3321.4511286795214
derived_tree_coefficients.a0_mean_field,0.3301903799493464
derived_tree_coefficients.glauber_t0,0.19365120000000002
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.409099444735783
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,79703.3644192248
derived_tree_coefficients.combo_TeV2,3.371073333333333
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10.0, 559.0169943749474)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,False
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,52.904583574921624
key_temperatures.Tc,79.51240731694163
key_temperatures.Ts_false,26.763864648431735
key_temperatures.Ts_true,92.28233007812473
key_temperatures.S_at_Tn,7407.339898916056
key_temperatures.S_over_Tn,140.01319731448297
key_temperatures.false_phase_key,1
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-0.00033157390669482994
key_temperatures.phi_true_Tn,241.86986597146378
key_temperatures.vTn_over_Tn,4.571813057160465
key_temperatures.Tc_minus_Tn_over_Tc,0.3346373810059541
gw_scales.gw_T_star_GeV,52.904583574921624
gw_scales.gw_alpha,0.12065724409378083
gw_scales.gw_beta_over_H,349.03615558327533
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,3.5450689565741786
gw_peaks.sw.f_peak_Hz,0.0035450689565741786
gw_peaks.sw.omega_peak,8.76901655557014e-14
gw_peaks.turb.f_peak_mHz,6.069495967119274
gw_peaks.turb.f_peak_Hz,0.006069495967119275
gw_peaks.turb.omega_peak,6.371249019461549e-18
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,3.5450689565741786
gw_peaks.total.f_peak_Hz,0.0035450689565741786
gw_peaks.total.omega_peak,8.769575851817728e-14
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,7407.343971268939
S3_over_T,140.01327428990945
bounce_diagnostics.label,results_eft68_c6f21p23167_c8f45_f1000_mh125_Glauber_C3p2_Lambda1000
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-0.00033157390669482994
bounce_diagnostics.phi_absMin,241.86986597146378
bounce_diagnostics.phi_bar,108.69267045333677
bounce_diagnostics.phi_top,75.34027961068377
bounce_diagnostics.V(phi_meta),-21680221.496781114
bounce_diagnostics.V(phi_true),-46134345.92280627
bounce_diagnostics.V(phi_top),-20779244.96754693
bounce_diagnostics.DeltaV_true_minus_meta,-24454124.426025156
bounce_diagnostics.r0,3.2403862079130126e-06
bounce_diagnostics.phi0,228.90464942702803
