quantity,value
label,results_eft68_c6f23p42222_c8f40_f1000_mh125_Glauber_off
model_parameters.c6_over_f2_TeV2,3.4222222222222225
model_parameters.c8_over_f4_TeV4,0.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,False
model_parameters.C_glauber,0.0
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,-0.18155071023861463
derived_tree_coefficients.mu2_tree_GeV2,-1587.1113904000013
derived_tree_coefficients.a0_mean_field,0.24450083340934636
derived_tree_coefficients.glauber_t0,0.0
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.18155071023861463
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,-1587.1113904000013
derived_tree_coefficients.combo_TeV2,6.844444444444445
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10, 1000.0)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,False
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,69.28548256945615
key_temperatures.Tc,89.34044221719716
key_temperatures.Ts_false,30.474840039056375
key_temperatures.Ts_true,93.48307421874969
key_temperatures.S_at_Tn,9698.86799735421
key_temperatures.S_over_Tn,139.98412997457947
key_temperatures.false_phase_key,2
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-4.563828253203957e-05
key_temperatures.phi_true_Tn,234.59822020574617
key_temperatures.vTn_over_Tn,3.3859650175716114
key_temperatures.Tc_minus_Tn_over_Tc,0.22447795365714712
gw_scales.gw_T_star_GeV,69.28548256945615
gw_scales.gw_alpha,0.043315717931180275
gw_scales.gw_beta_over_H,516.1949939394859
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,6.863259850034464
gw_peaks.sw.f_peak_Hz,0.006863259850034465
gw_peaks.sw.omega_peak,2.7278051774221912e-15
gw_peaks.turb.f_peak_mHz,11.750555064331126
gw_peaks.turb.f_peak_Hz,0.011750555064331127
gw_peaks.turb.omega_peak,1.981928874862431e-19
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
