quantity,value
label,results_eft68_c6f23_c8f42_f1000_mh125_Glauber_off
model_parameters.c6_over_f2_TeV2,3.0
model_parameters.c8_over_f4_TeV4,2.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,False
model_parameters.C_glauber,0.0
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,-0.1542104690066146
derived_tree_coefficients.mu2_tree_GeV2,-870.6608029361915
derived_tree_coefficients.a0_mean_field,0.2581709540253464
derived_tree_coefficients.glauber_t0,0.0
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.1542104690066146
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,-870.6608029361915
derived_tree_coefficients.combo_TeV2,6.363096
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10, 1000.0)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,False
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,82.363600537782
key_temperatures.Tc,94.56270967515724
key_temperatures.Ts_false,58.97084746093361
key_temperatures.Ts_true,95.62729492187466
key_temperatures.S_at_Tn,11532.641688920543
key_temperatures.S_over_Tn,140.0210968634168
key_temperatures.false_phase_key,2
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,3.7872629206455675e-05
key_temperatures.phi_true_Tn,223.77943761371813
key_temperatures.vTn_over_Tn,2.7169700711549827
key_temperatures.Tc_minus_Tn_over_Tc,0.12900549465303746
gw_scales.gw_T_star_GeV,82.363600537782
gw_scales.gw_alpha,0.021424062459428562
gw_scales.gw_beta_over_H,1427.536160543459
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,22.749095652733732
gw_peaks.sw.f_peak_Hz,0.022749095652733732
gw_peaks.sw.omega_peak,5.026130271788475e-17
gw_peaks.turb.f_peak_mHz,38.35481125162571
gw_peaks.turb.f_peak_Hz,0.038354811251625716
gw_peaks.turb.omega_peak,3.652126467692026e-21
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,22.749095652733732
gw_peaks.total.f_peak_Hz,0.022749095652733732
gw_peaks.total.omega_peak,5.0264520786014413e-17
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,11532.661353078025
S3_over_T,140.02133561156955
bounce_diagnostics.label,results_eft68_c6f23_c8f42_f1000_mh125_Glauber_off
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,3.7872629206455675e-05
bounce_diagnostics.phi_absMin,223.77943761371813
bounce_diagnostics.phi_bar,115.62778335795903
bounce_diagnostics.phi_top,76.567121002024
bounce_diagnostics.V(phi_meta),-117825096.28510228
bounce_diagnostics.V(phi_true),-130802317.89513376
bounce_diagnostics.V(phi_top),-116639043.87027894
bounce_diagnostics.DeltaV_true_minus_meta,-12977221.610031486
bounce_diagnostics.r0,2.8702157050752315e-06
bounce_diagnostics.phi0,218.15356558312902
bounce_diagnostics.dphi0,-0.04101655185959585
bounce_diagnostics.rscale_cubic,0.028702157050752315
bounce_diagnostics.rscale_curv,0.027116017777861143
bounce_diagnostics.wall_r_hi,0.12222605920179633
bounce_diagnostics.wall_thickness,0.08343561939721708
bounce_diagnostics.S_total,11532.661353078025
bounce_diagnostics.S_kin,17274.08572091675
bounce_diagnostics.S_pot,-5741.42436783873
bounce_diagnostics.S_interior,0.0
bounce_diagnostics.S3_over_T,nan
bounce_diagnostics.beta_rscale,34.840587006466436
bounce_diagnostics.beta_curvature,36.878574926308346
bounce_diagnostics.beta_wall,11.98528886373143
bounce_diagnostics.Tn_from_transitionFinder_GeV,82.363600537782
bounce_diagnostics.Tc_from_transitionFinder_GeV,94.56270967515724
bounce_diagnostics.T_spinodal_high_GeV,nan
bounce_diagnostics.T_spinodal_low_GeV,nan
