quantity,value
label,results_eft68_c6f22_c8f40_f1000_mh125_Glauber_C3p02667_Lambda1000
model_parameters.c6_over_f2_TeV2,2.0
model_parameters.c8_over_f4_TeV4,0.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,True
model_parameters.C_glauber,3.0266666666666664
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,-0.05244991023861459
derived_tree_coefficients.mu2_tree_GeV2,2319.220616
derived_tree_coefficients.a0_mean_field,0.30905123340934637
derived_tree_coefficients.glauber_t0,0.18316175999999998
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.4002240852723079
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,75130.77845859519
derived_tree_coefficients.combo_TeV2,4.0
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10.0, 574.8012489295106)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,False
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,51.35761235373731
key_temperatures.Tc,80.51916192128944
key_temperatures.Ts_false,15.495301562494655
key_temperatures.Ts_true,93.19565429687474
key_temperatures.S_at_Tn,7190.026659429373
key_temperatures.S_over_Tn,139.99923925408405
key_temperatures.false_phase_key,1
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-0.0003067003844886283
key_temperatures.phi_true_Tn,242.28631398831376
key_temperatures.vTn_over_Tn,4.717631970885082
key_temperatures.Tc_minus_Tn_over_Tc,0.3621690647508063
gw_scales.gw_T_star_GeV,51.35761235373731
gw_scales.gw_alpha,0.13855026413552596
gw_scales.gw_beta_over_H,408.83012533655483
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,4.008690271328588
gw_peaks.sw.f_peak_Hz,0.004008690271328588
gw_peaks.sw.omega_peak,8.989751189897322e-14
gw_peaks.turb.f_peak_mHz,6.863259850034464
gw_peaks.turb.f_peak_Hz,0.006863259850034465
gw_peaks.turb.omega_peak,6.53205704891016e-18
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,4.008690271328588
gw_peaks.total.f_peak_Hz,0.004008690271328588
gw_peaks.total.omega_peak,8.990323050915586e-14
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,7190.026060023902
S3_over_T,139.9992275828742
bounce_diagnostics.label,results_eft68_c6f22_c8f40_f1000_mh125_Glauber_C3p02667_Lambda1000
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-0.0003067003844886283
bounce_diagnostics.phi_absMin,242.28631398831376
bounce_diagnostics.phi_bar,108.58821468169856
bounce_diagnostics.phi_top,75.18488486378601
bounce_diagnostics.V(phi_meta),-18921972.10576562
bounce_diagnostics.V(phi_true),-44910472.99638921
bounce_diagnostics.V(phi_top),-17931933.77516184
bounce_diagnostics.DeltaV_true_minus_meta,-25988500.89062359
bounce_diagnostics.r0,3.084826058167411e-06
bounce_diagnostics.phi0,228.44472635141733
bounce_diagnostics.dphi0,-0.16124681775255326
bounce_diagnostics.rscale_cubic,0.030848260581674107
bounce_diagnostics.rscale_curv,0.027853084651325532
bounce_diagnostics.wall_r_hi,0.09705986552519355
bounce_diagnostics.wall_thickness,0.07842501069570648
bounce_diagnostics.S_total,7190.026060023902
bounce_diagnostics.S_kin,10778.858549388882
bounce_diagnostics.S_pot,-3588.832489364983
bounce_diagnostics.S_interior,0.0
bounce_diagnostics.S3_over_T,nan
bounce_diagnostics.beta_rscale,32.41673861488533
bounce_diagnostics.beta_curvature,35.90267260627085
bounce_diagnostics.beta_wall,12.751034282673636
bounce_diagnostics.Tn_from_transitionFinder_GeV,51.35761235373731
bounce_diagnostics.Tc_from_transitionFinder_GeV,80.51916192128944
bounce_diagnostics.T_spinodal_high_GeV,nan
bounce_diagnostics.T_spinodal_low_GeV,nan
bounce_diagnostics.gw_T_star_GeV,51.35761235373731
bounce_diagnostics.gw_alpha,0.13855026413552596
bounce_diagnostics.gw_beta_over_H,408.83012533655483
bounce_diagnostics.gw_R_star_times_H,nan
bounce_diagnostics.gw_Gamma_Tstar_GeV4,nan
bounce_diagnostics.gw_dT_for_beta_GeV,nan
bounce_diagnostics.gw_f_sw_peak_Hz,nan
bounce_diagnostics.gw_f_turb_peak_Hz,nan
bounce_diagnostics.gw_f_coll_peak_Hz,nan
bounce_diagnostics.gw_g_star,106.75
bounce_diagnostics.gw_v_w,1.0
bounce_diagnostics.omega_sw_peak,nan
bounce_diagnostics.omega_turb_peak,nan
bounce_diagnostics.omega_coll_peak,nan
bounce_diagnostics.omega_tot_peak,nan
