quantity,value
label,results_eft68_c6f23p29167_c8f40_f1000_mh125_Glauber_C1_Lambda1000
model_parameters.c6_over_f2_TeV2,3.291666666666667
model_parameters.c8_over_f4_TeV4,0.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,True
model_parameters.C_glauber,1.0
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,-0.16969966023861455
derived_tree_coefficients.mu2_tree_GeV2,-1228.522319499998
derived_tree_coefficients.a0_mean_field,0.2504263584093464
derived_tree_coefficients.glauber_t0,0.060516
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.19839831150277784
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,23996.673784859093
derived_tree_coefficients.combo_TeV2,6.583333333333334
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10.0, 1000.0)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,False
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,74.17804163036395
key_temperatures.Tc,91.02500747991776
key_temperatures.Ts_false,41.934384179682105
key_temperatures.Ts_true,94.41098828124967
key_temperatures.S_at_Tn,10384.224124007833
key_temperatures.S_over_Tn,139.99054027003547
key_temperatures.false_phase_key,2
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-0.00019080760382791473
key_temperatures.phi_true_Tn,231.2681746095166
key_temperatures.vTn_over_Tn,3.117744409618514
key_temperatures.Tc_minus_Tn_over_Tc,0.18508063131190233
gw_scales.gw_T_star_GeV,74.17804163036395
gw_scales.gw_alpha,0.03297175754260322
gw_scales.gw_beta_over_H,856.1054978429821
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,12.117215611000251
gw_peaks.sw.f_peak_Hz,0.012117215611000251
gw_peaks.sw.omega_peak,4.677545475254132e-16
gw_peaks.turb.f_peak_mHz,20.74582813044975
gw_peaks.turb.f_peak_Hz,0.02074582813044975
gw_peaks.turb.omega_peak,3.398797694939006e-20
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,12.117215611000251
gw_peaks.total.f_peak_Hz,0.012117215611000251
gw_peaks.total.omega_peak,4.677842944001444e-16
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,10384.293677962709
S3_over_T,139.9914779323591
bounce_diagnostics.label,results_eft68_c6f23p29167_c8f40_f1000_mh125_Glauber_C1_Lambda1000
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-0.00019080760382791473
bounce_diagnostics.phi_absMin,231.2681746095166
bounce_diagnostics.phi_bar,117.13630478036086
bounce_diagnostics.phi_top,79.00817801017546
bounce_diagnostics.V(phi_meta),-77223176.86302294
bounce_diagnostics.V(phi_true),-94560010.46184723
bounce_diagnostics.V(phi_top),-75810662.07463823
bounce_diagnostics.DeltaV_true_minus_meta,-17336833.598824292
bounce_diagnostics.r0,2.713944541115482e-06
bounce_diagnostics.phi0,224.65279886068322
bounce_diagnostics.dphi0,-0.056076130536745636
bounce_diagnostics.rscale_cubic,0.02713944541115482
bounce_diagnostics.rscale_curv,0.02568416794781782
bounce_diagnostics.wall_r_hi,0.10965745987603835
bounce_diagnostics.wall_thickness,0.07675955878126814
bounce_diagnostics.S_total,10384.293677962709
bounce_diagnostics.S_kin,15595.29800958188
bounce_diagnostics.S_pot,-5211.004331619171
bounce_diagnostics.S_interior,0.0
bounce_diagnostics.S3_over_T,nan
bounce_diagnostics.beta_rscale,36.846736727677616
bounce_diagnostics.beta_curvature,38.93449438039631
bounce_diagnostics.beta_wall,13.027693434892866
bounce_diagnostics.Tn_from_transitionFinder_GeV,74.17804163036395
bounce_diagnostics.Tc_from_transitionFinder_GeV,91.02500747991776
bounce_diagnostics.T_spinodal_high_GeV,nan
bounce_diagnostics.T_spinodal_low_GeV,nan
bounce_diagnostics.gw_T_star_GeV,74.17804163036395
bounce_diagnostics.gw_alpha,0.03297175754260322
bounce_diagnostics.gw_beta_over_H,856.1054978429821
bounce_diagnostics.gw_R_star_times_H,nan
bounce_diagnostics.gw_Gamma_Tstar_GeV4,nan
bounce_diagnostics.gw_dT_for_beta_GeV,nan
bounce_diagnostics.gw_f_sw_peak_Hz,nan
bounce_diagnostics.gw_f_turb_peak_Hz,nan
bounce_diagnostics.gw_f_coll_peak_Hz,nan
bounce_diagnostics.gw_g_star,106.75
bounce_diagnostics.gw_v_w,1.0
bounce_diagnostics.omega_sw_peak,nan
bounce_diagnostics.omega_turb_peak,nan
bounce_diagnostics.omega_coll_peak,nan
bounce_diagnostics.omega_tot_peak,nan
