quantity,value
label,results_eft68_c6f21_c8f40_f1000_mh125_Glauber_C3p2_Lambda1000
model_parameters.c6_over_f2_TeV2,1.0
model_parameters.c8_over_f4_TeV4,0.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,True
model_parameters.C_glauber,3.2
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,0.03832408976138542
derived_tree_coefficients.mu2_tree_GeV2,5065.860308
derived_tree_coefficients.a0_mean_field,0.3544382334093464
derived_tree_coefficients.glauber_t0,0.19365120000000002
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.3606037378157831
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,81447.77359854527
derived_tree_coefficients.combo_TeV2,2.0
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10.0, 559.0169943749474)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,False
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,82.50890019706148
key_temperatures.Tc,91.60992785743476
key_temperatures.Ts_false,71.5078515624971
key_temperatures.Ts_true,98.00349414062464
key_temperatures.S_at_Tn,11550.929415851173
key_temperatures.S_over_Tn,139.99616269594338
key_temperatures.false_phase_key,1
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-0.00024666812623624576
key_temperatures.phi_true_Tn,224.10345116985758
key_temperatures.vTn_over_Tn,2.7161124513187844
key_temperatures.Tc_minus_Tn_over_Tc,0.0993454298374351
gw_scales.gw_T_star_GeV,82.50890019706148
gw_scales.gw_alpha,0.022490383796810454
gw_scales.gw_beta_over_H,2176.1045392114843
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,34.4440540361618
gw_peaks.sw.f_peak_Hz,0.034444054036161804
gw_peaks.sw.omega_peak,2.4812725784351353e-17
gw_peaks.turb.f_peak_mHz,58.971503692765474
gw_peaks.turb.f_peak_Hz,0.05897150369276547
gw_peaks.turb.omega_peak,1.8028106114127974e-21
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,34.4440540361618
gw_peaks.total.f_peak_Hz,0.034444054036161804
gw_peaks.total.omega_peak,2.481430778761471e-17
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,11550.956456060565
S3_over_T,139.9964904207019
bounce_diagnostics.label,results_eft68_c6f21_c8f40_f1000_mh125_Glauber_C3p2_Lambda1000
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-0.00024666812623624576
bounce_diagnostics.phi_absMin,224.10345116985758
bounce_diagnostics.phi_bar,113.83602472006562
bounce_diagnostics.phi_top,76.68692380758002
bounce_diagnostics.V(phi_meta),-124903175.37342745
bounce_diagnostics.V(phi_true),-136273688.41903114
bounce_diagnostics.V(phi_top),-124098285.60316925
bounce_diagnostics.DeltaV_true_minus_meta,-11370513.045603693
bounce_diagnostics.r0,3.4896260065544382e-06
bounce_diagnostics.phi0,219.06606519139845
bounce_diagnostics.dphi0,-0.043531921675071854
bounce_diagnostics.rscale_cubic,0.03489626006554438
bounce_diagnostics.rscale_curv,0.0331170454417882
bounce_diagnostics.wall_r_hi,0.13420067561758364
bounce_diagnostics.wall_thickness,0.09299889860206159
bounce_diagnostics.S_total,11550.956456060565
bounce_diagnostics.S_kin,17316.242024062354
bounce_diagnostics.S_pot,-5765.285568001788
bounce_diagnostics.S_interior,0.0
bounce_diagnostics.S3_over_T,nan
bounce_diagnostics.beta_rscale,28.65636598654802
bounce_diagnostics.beta_curvature,30.195921919394483
bounce_diagnostics.beta_wall,10.752815517514442
bounce_diagnostics.Tn_from_transitionFinder_GeV,82.50890019706148
bounce_diagnostics.Tc_from_transitionFinder_GeV,91.60992785743476
bounce_diagnostics.T_spinodal_high_GeV,nan
bounce_diagnostics.T_spinodal_low_GeV,nan
bounce_diagnostics.gw_T_star_GeV,82.50890019706148
bounce_diagnostics.gw_alpha,0.022490383796810454
bounce_diagnostics.gw_beta_over_H,2176.1045392114843
bounce_diagnostics.gw_R_star_times_H,nan
bounce_diagnostics.gw_Gamma_Tstar_GeV4,nan
bounce_diagnostics.gw_dT_for_beta_GeV,nan
bounce_diagnostics.gw_f_sw_peak_Hz,nan
bounce_diagnostics.gw_f_turb_peak_Hz,nan
bounce_diagnostics.gw_f_coll_peak_Hz,nan
bounce_diagnostics.gw_g_star,106.75
bounce_diagnostics.gw_v_w,1.0
bounce_diagnostics.omega_sw_peak,nan
bounce_diagnostics.omega_turb_peak,nan
bounce_diagnostics.omega_coll_peak,nan
bounce_diagnostics.omega_tot_peak,nan
