quantity,value
label,results_eft68_c6f21p325_c8f40_f1000_mh125_Glauber_C3p2_Lambda1000
model_parameters.c6_over_f2_TeV2,1.325
model_parameters.c8_over_f4_TeV4,0.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,True
model_parameters.C_glauber,3.2
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,0.008822539761385445
derived_tree_coefficients.mu2_tree_GeV2,4173.202408100001
derived_tree_coefficients.a0_mean_field,0.3396874584093464
derived_tree_coefficients.glauber_t0,0.19365120000000002
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.390105287815783
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,80555.11569864527
derived_tree_coefficients.combo_TeV2,2.65
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10.0, 559.0169943749474)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,False
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,70.72536205627922
key_temperatures.Tc,85.84817684146465
key_temperatures.Ts_false,53.30079648437068
key_temperatures.Ts_true,95.20078515624968
key_temperatures.S_at_Tn,9901.59448477709
key_temperatures.S_over_Tn,140.0006192530759
key_temperatures.false_phase_key,1
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-0.0002611712593326483
key_temperatures.phi_true_Tn,234.02636090023893
key_temperatures.vTn_over_Tn,3.30894539237585
key_temperatures.Tc_minus_Tn_over_Tc,0.1761576697559069
gw_scales.gw_T_star_GeV,70.72536205627922
gw_scales.gw_alpha,0.04036856242567291
gw_scales.gw_beta_over_H,947.6606925753233
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,12.885217184405017
gw_peaks.sw.f_peak_Hz,0.012885217184405016
gw_peaks.sw.omega_peak,6.673409180505609e-16
gw_peaks.turb.f_peak_mHz,22.060720029485164
gw_peaks.turb.f_peak_Hz,0.022060720029485163
gw_peaks.turb.omega_peak,4.8486356688638813e-20
