run,Lambda_GeV,C,f_peak_no_daisy_mHz,f_peak_with_daisy_mHz,f_peak_relative_difference,omega_peak_no_daisy,omega_peak_with_daisy,omega_peak_relative_difference
run03,1000.0,3.64,26.52689420538825,28.64491511478483,0.07984428531276608,8.547014422608517e-17,6.396870532950123e-17,-0.2515666621517386
run03,1000.0,3.642121212121212,26.52689420538825,27.77813510752457,0.04716876738182804,8.701817487201914e-17,6.778429291695293e-17,-0.22103292769992242
run03,1000.0,3.644242424242425,26.122466354447656,26.122466354447656,0.0,9.474115272369076e-17,8.003706853852625e-17,-0.15520271563560611
run03,1000.0,3.646363636363637,24.945803549660923,25.724204392561013,0.031203678861275688,1.0633449409298459e-16,8.331496116618895e-17,-0.21648227250384175
run03,1000.0,3.648484848484848,23.10129700083158,25.33201431485765,0.09656242737997656,1.2588775432376742e-16,8.807303160484718e-17,-0.30038444106060985
run03,1000.0,3.650606060606061,22.74909565273373,24.945803549660923,0.09656242737997447,1.3431542889986007e-16,9.543164482986355e-17,-0.2894960347331849
run03,1000.0,3.652727272727273,21.724383271678267,24.945803549660923,0.14828592543671287,1.4728047984876026e-16,9.79189492036673e-17,-0.33515324431167964
run03,1000.0,3.656969696969697,21.724383271678267,23.45895112786603,0.0798442853127661,1.5728007786117762e-16,1.154915910398627e-16,-0.26569472363943825
run03,1000.0,3.659090909090909,23.82214245372448,23.10129700083158,-0.030259472014038,1.3436265558459538e-16,1.2086859623577034e-16,-0.10043013283798273
run03,1000.0,3.661212121212121,22.060720029485164,22.402263950746985,0.015481993371264909,1.629630033209502e-16,1.329721841986933e-16,-0.18403452631018943
run03,1000.0,3.6633333333333336,21.39317428914348,21.724383271678267,0.01548199337126266,1.7763113577246032e-16,1.4730825182839051e-16,-0.17070703180613803
run03,1000.0,3.6654545454545455,19.81135111804306,22.74909565273373,0.14828592543671276,2.1163805559153936e-16,1.3492583130657266e-16,-0.3624689523372914
run03,1000.0,3.66969696969697,20.74582813044975,21.724383271678267,0.047168767381825634,2.0063937946061715e-16,1.5952758061236895e-16,-0.20490393739638685
run03,1000.0,3.671818181818182,20.118070324728365,22.402263950746985,0.11353939961184928,2.1817223565096942e-16,1.5235438368959483e-16,-0.301678404518298
run03,1000.0,3.673939393939394,19.81135111804306,20.42953815613841,0.031203678861273624,2.344375903860433e-16,1.871810878391832e-16,-0.201573913419959
run03,1000.0,3.6760606060606063,18.918966775122765,21.39317428914348,0.13077920921528022,2.6107537585817647e-16,1.7714984756110475e-16,-0.32146091151339545
run03,1000.0,3.678181818181818,19.81135111804306,19.21187009332636,-0.030259472014037718,2.474523124299277e-16,2.2475373100298263e-16,-0.09172911420406603
run03,1000.0,3.680303030303031,19.21187009332636,19.21187009332636,0.0,2.752247743461019e-16,2.3067024504324616e-16,-0.16188415235769194
run03,1000.0,3.6824242424242426,19.21187009332636,15.733693738950372,-0.1810430914575154,2.8134499765783597e-16,3.586146551972577e-16,0.27464379385694626
run03,1000.0,3.686666666666667,18.63052904790005,18.918966775122765,0.015481993371263146,3.179989057759148e-16,2.623232242803513e-16,-0.17508136186731615
run03,1000.0,3.688787878787879,18.63052904790005,15.49381854297249,-0.1683640060281121,3.28419885685975e-16,3.9867797330627247e-16,0.2139276294842758
run03,1000.0,3.690909090909091,15.25760047357916,17.520087879747475,0.14828592543671293,5.054557615799958e-16,3.232123754614356e-16,-0.3605525942545172
run03,1000.0,3.6951515151515153,16.47583267897981,17.791333764165667,0.079844285312766,4.504575816134224e-16,3.3260911785595633e-16,-0.26161944779653473
run03,1000.0,3.6972727272727273,16.47583267897981,15.733693738950372,-0.04504409303550851,4.768300162269967e-16,4.4355660659795917e-16,-0.06978044270853455
run03,1000.0,3.701515151515152,15.49381854297249,16.47583267897981,0.06338102729702687,5.613505763731462e-16,4.2684771643232364e-16,-0.239605810703603
run03,1000.0,3.703636363636364,15.733693738950372,15.733693738950372,0.0,5.7612299607950185e-16,4.910345709462158e-16,-0.14769142303346688
run03,1000.0,3.705757575757576,15.733693738950372,15.25760047357916,-0.030259472014037878,5.917057128874015e-16,5.263744513516478e-16,-0.11041174711150019
run03,1000.0,3.707878787878788,14.79591353904755,16.22464286568221,0.09656242737997442,6.830423532810905e-16,4.83001055521657e-16,-0.29286807296576395
run03,1000.0,3.71,14.79591353904755,14.79591353904755,0.0,7.179716951611367e-16,6.01458717753896e-16,-0.1622807391885989
run03,1000.0,3.712121212121213,14.348197007390617,13.49299699644052,-0.05960330838150553,7.717166710979274e-16,7.454872998650122e-16,-0.03398834341054011
run03,1000.0,3.714242424242424,14.79591353904755,14.348197007390617,-0.03025947201403787,7.468414107711634e-16,7.004745614473142e-16,-0.06208392927217614
run03,1000.0,3.716363636363636,15.97728268112228,15.49381854297249,-0.03025947201403777,6.680248237365407e-16,6.054134067949015e-16,-0.09372618309515432
run03,1000.0,3.7184848484848487,15.024983774380862,13.49299699644052,-0.10196262444905516,7.968456354734264e-16,8.298751317670224e-16,0.041450307089869784
