quantity,value
label,results_gw_C0_Lambda0_D0p01_mh125
model_parameters.C,3.65
model_parameters.D,0.01
model_parameters.Lambda,1000.0
model_parameters.m_h,125.0
model_parameters.use_glauber_measure,False
scan_parameters.T_min,5.0
scan_parameters.T_max,200.0
scan_parameters.phi_scan_range,"(0.0, 300.0)"
scan_parameters.n_phi_scan,800
scan_parameters.n_T_seeds,2
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,1e-05
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.001
scan_parameters.Tn_maxiter,100
key_temperatures.Tn,168.0095183265881
key_temperatures.Tc,168.1080064732122
key_temperatures.Ts_false,166.6239599609346
key_temperatures.Ts_true,168.2957421874965
key_temperatures.T_spinodal_false_phase,166.6239599609346
key_temperatures.T_spinodal_true_phase,168.2957421874965
key_temperatures.T_spinodal_high_phase,166.6239599609346
key_temperatures.T_spinodal_low_phase,168.2957421874965
key_temperatures.S_at_Tn,23454.695193337255
key_temperatures.S_over_Tn,139.60337144556567
key_temperatures.false_phase_key,1
key_temperatures.true_phase_key,0
gw_scales.gw_T_star_GeV,168.0095183265881
gw_scales.gw_alpha,0.0002514492090260109
gw_scales.gw_beta_over_H,410794.284048094
gw_scales.gw_R_star_times_H,7.1305368377036865e-06
gw_scales.gw_nucleation_rate_GeV4,2.049069131622954e-50
gw_scales.gw_dT_for_beta_GeV,0.00028622386090839313
gw_scales.gw_f_sw_peak_mHz,13256.83528719457
gw_scales.gw_f_turb_peak_mHz,18838.660671276495
gw_scales.gw_f_coll_peak_mHz,2643.6145221832444
gw_scales.gw_f_sw_peak_Hz,13.256835287194571
gw_scales.gw_f_turb_peak_Hz,18.838660671276497
gw_scales.gw_f_coll_peak_Hz,2.6436145221832446
gw_scales.gw_g_star,106.75
gw_scales.gw_v_w,1.0
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.dT_fraction,0.001
gw_run_parameters.include_sw,True
gw_run_parameters.include_turb,True
gw_run_parameters.include_coll,True
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.kappa_coll,
gw_run_parameters.beta_over_H_override,
gw_run_parameters.frequency_unit,mHz
gw_thermodynamics.T_star_GeV,168.0095183265881
gw_thermodynamics.alpha,0.0002514492090260109
gw_thermodynamics.beta_over_H,410794.284048094
gw_thermodynamics.R_star_times_H,7.1305368377036865e-06
gw_thermodynamics.Gamma_Tstar_GeV4,2.049069131622954e-50
gw_thermodynamics.dT_for_beta_GeV,0.00028622386090839313
gw_thermodynamics.S3_Tn,23447.217806689252
gw_thermodynamics.S3_over_Tn,139.55886571325672
gw_thermodynamics.f_sw_peak_mHz,13256.83528719457
gw_thermodynamics.f_turb_peak_mHz,18838.660671276495
gw_thermodynamics.f_coll_peak_mHz,2643.6145221832444
gw_thermodynamics.f_sw_peak_Hz,13.256835287194571
gw_thermodynamics.f_turb_peak_Hz,18.838660671276497
gw_thermodynamics.f_coll_peak_Hz,2.6436145221832446
gw_peaks.sw.f_peak_mHz,13291.126176009122
gw_peaks.sw.f_peak_Hz,13.291126176009122
gw_peaks.sw.omega_peak,1.2885285912595935e-27
gw_peaks.turb.f_peak_mHz,22681.816830098152
gw_peaks.turb.f_peak_Hz,22.681816830098153
gw_peaks.turb.omega_peak,9.362089035056754e-32
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,13291.126176009122
gw_peaks.total.f_peak_Hz,13.291126176009122
gw_peaks.total.omega_peak,1.288610898959605e-27
gw_peaks.total_no_turb.f_peak_mHz,13291.126176009122
gw_peaks.total_no_turb.f_peak_Hz,13.291126176009122
gw_peaks.total_no_turb.omega_peak,1.2885285912595935e-27
gw_peaks.total_max_turb.f_peak_mHz,13291.126176009122
gw_peaks.total_max_turb.f_peak_Hz,13.291126176009122
gw_peaks.total_max_turb.omega_peak,1.288610898959605e-27
bounce_diagnostics.label,results_gw_C0_Lambda0_D0p01_mh125
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-7.688688209876233e-07
bounce_diagnostics.phi_absMin,56.349329341967675
bounce_diagnostics.phi_bar,39.600323586238645
bounce_diagnostics.phi_top,23.48785143351785
bounce_diagnostics.V(phi_meta),-1614867794.4958465
bounce_diagnostics.V(phi_true),-1614883417.9491897
bounce_diagnostics.V(phi_top),-1614857004.845113
bounce_diagnostics.DeltaV_true_minus_meta,-15623.453343153
bounce_diagnostics.r0,0.11268041885775258
bounce_diagnostics.phi0,56.343694408956594
bounce_diagnostics.dphi0,-0.03764822181810269
bounce_diagnostics.rscale_cubic,0.09231323849224014
bounce_diagnostics.rscale_curv,0.1075721819139301
bounce_diagnostics.wall_r_hi,1.062451073136514
bounce_diagnostics.wall_thickness,0.33605455109253024
bounce_diagnostics.S_total,23447.217806689252
bounce_diagnostics.S_kin,35161.34944872521
bounce_diagnostics.S_pot,-11714.131642035962
bounce_diagnostics.S_interior,0.0
bounce_diagnostics.S3_over_T,nan
bounce_diagnostics.beta_rscale,10.832682466058865
bounce_diagnostics.beta_curvature,9.296068154821883
bounce_diagnostics.beta_wall,2.9757073568828325
bounce_diagnostics.Tn_from_transitionFinder_GeV,168.0095183265881
bounce_diagnostics.Tc_from_transitionFinder_GeV,168.1080064732122
bounce_diagnostics.T_spinodal_high_GeV,166.6239599609346
bounce_diagnostics.T_spinodal_low_GeV,168.2957421874965
bounce_diagnostics.gw_T_star_GeV,168.0095183265881
bounce_diagnostics.gw_alpha,0.0002514492090260109
bounce_diagnostics.gw_beta_over_H,410794.284048094
bounce_diagnostics.gw_R_star_times_H,7.1305368377036865e-06
bounce_diagnostics.gw_Gamma_Tstar_GeV4,2.049069131622954e-50
bounce_diagnostics.gw_dT_for_beta_GeV,0.00028622386090839313
bounce_diagnostics.gw_f_sw_peak_Hz,13.256835287194571
bounce_diagnostics.gw_f_turb_peak_Hz,18.838660671276497
bounce_diagnostics.gw_f_coll_peak_Hz,2.6436145221832446
bounce_diagnostics.gw_g_star,106.75
bounce_diagnostics.gw_v_w,1.0
bounce_diagnostics.omega_sw_peak,1.2885285912595935e-27
bounce_diagnostics.omega_turb_peak,9.362089035056754e-32
bounce_diagnostics.omega_coll_peak,nan
bounce_diagnostics.omega_tot_peak,1.288610898959605e-27
bounce_settings.xguess,
bounce_settings.phitol,1e-05
bounce_settings.thinCutoff,0.0001
bounce_settings.npoints,800
bounce_settings.alpha,2
bounce_settings.phi_eps,0.001
S3,23447.217806689252
S3_over_T,139.55886571325672
