quantity,value
label,results_gw_C0_Lambda0_D1em05_mh125
model_parameters.C,3.65
model_parameters.D,1e-05
model_parameters.Lambda,1000.0
model_parameters.m_h,125.0
model_parameters.use_glauber_measure,False
scan_parameters.T_min,5.0
scan_parameters.T_max,200.0
scan_parameters.phi_scan_range,"(0.0, 300.0)"
scan_parameters.n_phi_scan,800
scan_parameters.n_T_seeds,2
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,1e-05
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.001
scan_parameters.Tn_maxiter,100
key_temperatures.Tn,166.89430415348653
key_temperatures.Tc,166.90552771965045
key_temperatures.Ts_false,166.61977050780922
key_temperatures.Ts_true,166.94026367187155
key_temperatures.T_spinodal_false_phase,166.61977050780922
key_temperatures.T_spinodal_true_phase,166.94026367187155
key_temperatures.T_spinodal_high_phase,166.61977050780922
key_temperatures.T_spinodal_low_phase,166.94026367187155
key_temperatures.S_at_Tn,24013.052550541637
key_temperatures.S_over_Tn,143.8817979579322
key_temperatures.false_phase_key,1
key_temperatures.true_phase_key,0
gw_scales.gw_T_star_GeV,166.89430415348653
gw_scales.gw_alpha,4.66184506519892e-05
gw_scales.gw_beta_over_H,3846928.3912599212
gw_scales.gw_R_star_times_H,7.61434442548513e-07
gw_scales.gw_nucleation_rate_GeV4,3.0500249088790364e-52
gw_scales.gw_dT_for_beta_GeV,0.0001
gw_scales.gw_f_sw_peak_mHz,123321.04576436827
gw_scales.gw_f_turb_peak_mHz,175245.69661252334
gw_scales.gw_f_coll_peak_mHz,24592.091582251218
gw_scales.gw_f_sw_peak_Hz,123.32104576436828
gw_scales.gw_f_turb_peak_Hz,175.24569661252335
gw_scales.gw_f_coll_peak_Hz,24.592091582251218
gw_scales.gw_g_star,106.75
gw_scales.gw_v_w,1.0
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.dT_fraction,0.001
gw_run_parameters.include_sw,True
gw_run_parameters.include_turb,True
gw_run_parameters.include_coll,True
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.kappa_coll,
gw_run_parameters.beta_over_H_override,
gw_run_parameters.frequency_unit,mHz
gw_thermodynamics.T_star_GeV,166.89430415348653
gw_thermodynamics.alpha,4.66184506519892e-05
gw_thermodynamics.beta_over_H,3846928.3912599212
gw_thermodynamics.R_star_times_H,7.61434442548513e-07
gw_thermodynamics.Gamma_Tstar_GeV4,3.0500249088790364e-52
gw_thermodynamics.dT_for_beta_GeV,0.0001
gw_thermodynamics.S3_Tn,23996.79312304519
gw_thermodynamics.S3_over_Tn,143.7843744563998
gw_thermodynamics.f_sw_peak_mHz,123321.04576436827
gw_thermodynamics.f_turb_peak_mHz,175245.69661252334
gw_thermodynamics.f_coll_peak_mHz,24592.091582251218
gw_thermodynamics.f_sw_peak_Hz,123.32104576436828
gw_thermodynamics.f_turb_peak_Hz,175.24569661252335
gw_thermodynamics.f_coll_peak_Hz,24.592091582251218
gw_peaks.sw.f_peak_mHz,100000.0
gw_peaks.sw.f_peak_Hz,100.0
gw_peaks.sw.omega_peak,8.841136348591465e-32
gw_peaks.turb.f_peak_mHz,100000.0
gw_peaks.turb.f_peak_Hz,100.0
gw_peaks.turb.omega_peak,5.377633034161723e-36
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,100000.0
gw_peaks.total.f_peak_Hz,100.0
gw_peaks.total.omega_peak,8.841674111894882e-32
gw_peaks.total_no_turb.f_peak_mHz,100000.0
gw_peaks.total_no_turb.f_peak_Hz,100.0
gw_peaks.total_no_turb.omega_peak,8.841136348591465e-32
gw_peaks.total_max_turb.f_peak_mHz,100000.0
gw_peaks.total_max_turb.f_peak_Hz,100.0
gw_peaks.total_max_turb.omega_peak,8.841674111894882e-32
bounce_diagnostics.label,results_gw_C0_Lambda0_D1em05_mh125
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-2.9747477163527164e-05
bounce_diagnostics.phi_absMin,23.910554155386215
bounce_diagnostics.phi_bar,18.440102139422002
bounce_diagnostics.phi_top,10.667036944194455
bounce_diagnostics.V(phi_meta),-1569308997.9078107
bounce_diagnostics.V(phi_true),-1569309327.7286355
bounce_diagnostics.V(phi_top),-1569308575.4741035
bounce_diagnostics.DeltaV_true_minus_meta,-329.8208248615265
bounce_diagnostics.r0,1.6054809331677866
bounce_diagnostics.phi0,23.90816309699593
bounce_diagnostics.dphi0,-0.01277317733808894
bounce_diagnostics.rscale_cubic,0.2118800676310462
bounce_diagnostics.rscale_curv,0.2509443180711325
bounce_diagnostics.wall_r_hi,3.6510656054217416
bounce_diagnostics.wall_thickness,0.7814896722949158
bounce_diagnostics.S_total,23996.79312304519
bounce_diagnostics.S_kin,35924.392768735146
bounce_diagnostics.S_pot,-11927.599645689948
bounce_diagnostics.S_interior,0.0
bounce_diagnostics.S3_over_T,nan
bounce_diagnostics.beta_rscale,4.719651127076914
bounce_diagnostics.beta_curvature,3.9850567756335002
bounce_diagnostics.beta_wall,1.2796074413413663
bounce_diagnostics.Tn_from_transitionFinder_GeV,166.89430415348653
bounce_diagnostics.Tc_from_transitionFinder_GeV,166.90552771965045
bounce_diagnostics.T_spinodal_high_GeV,166.61977050780922
bounce_diagnostics.T_spinodal_low_GeV,166.94026367187155
bounce_diagnostics.gw_T_star_GeV,166.89430415348653
bounce_diagnostics.gw_alpha,4.66184506519892e-05
bounce_diagnostics.gw_beta_over_H,3846928.3912599212
bounce_diagnostics.gw_R_star_times_H,7.61434442548513e-07
bounce_diagnostics.gw_Gamma_Tstar_GeV4,3.0500249088790364e-52
bounce_diagnostics.gw_dT_for_beta_GeV,0.0001
bounce_diagnostics.gw_f_sw_peak_Hz,123.32104576436828
bounce_diagnostics.gw_f_turb_peak_Hz,175.24569661252335
bounce_diagnostics.gw_f_coll_peak_Hz,24.592091582251218
bounce_diagnostics.gw_g_star,106.75
bounce_diagnostics.gw_v_w,1.0
bounce_diagnostics.omega_sw_peak,8.841136348591465e-32
bounce_diagnostics.omega_turb_peak,5.377633034161723e-36
bounce_diagnostics.omega_coll_peak,nan
bounce_diagnostics.omega_tot_peak,8.841674111894882e-32
bounce_settings.xguess,
bounce_settings.phitol,1e-05
bounce_settings.thinCutoff,0.0001
bounce_settings.npoints,800
bounce_settings.alpha,2
bounce_settings.phi_eps,0.001
S3,23996.79312304519
S3_over_T,143.7843744563998
