quantity,value
label,results_gw_C3p65_Lambda1000_D1em05_mh125
model_parameters.C,3.65
model_parameters.D,1e-05
model_parameters.Lambda,1000.0
model_parameters.m_h,125.0
model_parameters.use_glauber_measure,True
scan_parameters.T_min,5.0
scan_parameters.T_max,200.0
scan_parameters.phi_scan_range,"(0.0, 300.0)"
scan_parameters.n_phi_scan,800
scan_parameters.n_T_seeds,2
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,1e-05
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.001
scan_parameters.Tn_maxiter,100
key_temperatures.Tn,81.12841421518135
key_temperatures.Tc,93.76759814998225
key_temperatures.Ts_false,67.53322460938533
key_temperatures.Ts_true,102.87552734374874
key_temperatures.T_spinodal_false_phase,67.53322460938533
key_temperatures.T_spinodal_true_phase,102.87552734374874
key_temperatures.T_spinodal_high_phase,67.53322460938533
key_temperatures.T_spinodal_low_phase,102.87552734374874
key_temperatures.S_at_Tn,11357.996376148752
key_temperatures.S_over_Tn,140.0002266286546
key_temperatures.false_phase_key,1
key_temperatures.true_phase_key,0
gw_scales.gw_T_star_GeV,81.12841421518135
gw_scales.gw_alpha,0.02351581649563204
gw_scales.gw_beta_over_H,1498.5459313151496
gw_scales.gw_R_star_times_H,0.0019546840132903666
gw_scales.gw_nucleation_rate_GeV4,7.906991594117298e-52
gw_scales.gw_dT_for_beta_GeV,0.013595189605796023
gw_scales.gw_f_sw_peak_mHz,23.352029333458145
gw_scales.gw_f_turb_peak_mHz,33.18446273701947
gw_scales.gw_f_coll_peak_mHz,4.656749709186682
gw_scales.gw_f_sw_peak_Hz,0.023352029333458146
gw_scales.gw_f_turb_peak_Hz,0.03318446273701947
gw_scales.gw_f_coll_peak_Hz,0.004656749709186682
gw_scales.gw_g_star,106.75
gw_scales.gw_v_w,1.0
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.dT_fraction,0.001
gw_run_parameters.include_sw,True
gw_run_parameters.include_turb,True
gw_run_parameters.include_coll,True
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.kappa_coll,
gw_run_parameters.beta_over_H_override,
gw_run_parameters.frequency_unit,mHz
gw_thermodynamics.T_star_GeV,81.12841421518135
gw_thermodynamics.alpha,0.02351581649563204
gw_thermodynamics.beta_over_H,1498.5459313151496
gw_thermodynamics.R_star_times_H,0.0019546840132903666
gw_thermodynamics.Gamma_Tstar_GeV4,7.906991594117298e-52
gw_thermodynamics.dT_for_beta_GeV,0.013595189605796023
gw_thermodynamics.S3_Tn,11350.30690099077
gw_thermodynamics.S3_over_Tn,139.90544509949038
gw_thermodynamics.f_sw_peak_mHz,23.352029333458145
gw_thermodynamics.f_turb_peak_mHz,33.18446273701947
gw_thermodynamics.f_coll_peak_mHz,4.656749709186682
gw_thermodynamics.f_sw_peak_Hz,0.023352029333458146
gw_thermodynamics.f_turb_peak_Hz,0.03318446273701947
gw_thermodynamics.f_coll_peak_Hz,0.004656749709186682
gw_peaks.sw.f_peak_mHz,23.45228118267007
gw_peaks.sw.f_peak_Hz,0.023452281182670072
gw_peaks.sw.omega_peak,5.933050474316098e-17
gw_peaks.turb.f_peak_mHz,39.65510914739237
gw_peaks.turb.f_peak_Hz,0.03965510914739238
gw_peaks.turb.omega_peak,4.310862569837624e-21
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,23.45228118267007
gw_peaks.total.f_peak_Hz,0.023452281182670072
gw_peaks.total.omega_peak,5.93342978008852e-17
gw_peaks.total_no_turb.f_peak_mHz,23.45228118267007
gw_peaks.total_no_turb.f_peak_Hz,0.023452281182670072
gw_peaks.total_no_turb.omega_peak,5.933050474316098e-17
gw_peaks.total_max_turb.f_peak_mHz,23.45228118267007
gw_peaks.total_max_turb.f_peak_Hz,0.023452281182670072
gw_peaks.total_max_turb.omega_peak,5.93342978008852e-17
bounce_diagnostics.label,results_gw_C3p65_Lambda1000_D1em05_mh125
bounce_diagnostics.C,nan
