quantity,value
label,results_gw_C3p75_Lambda1000_D0_mh125
model_parameters.C,3.75
model_parameters.D,0.0
model_parameters.Lambda,1000.0
model_parameters.m_h,125.0
model_parameters.use_glauber_measure,True
scan_parameters.T_min,5.0
scan_parameters.T_max,110.0
scan_parameters.phi_scan_range,"(0.0, 300.0)"
scan_parameters.n_phi_scan,800
scan_parameters.n_T_seeds,2
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,1e-05
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.001
scan_parameters.Tn_maxiter,100
key_temperatures.Tn,66.03970577687393
key_temperatures.Tc,86.68294828422061
key_temperatures.Ts_false,46.96302441408524
key_temperatures.Ts_true,99.64150390625049
key_temperatures.T_spinodal_false_phase,46.96302441408524
key_temperatures.T_spinodal_true_phase,99.64150390625049
key_temperatures.T_spinodal_high_phase,46.96302441408524
key_temperatures.T_spinodal_low_phase,99.64150390625049
key_temperatures.S_at_Tn,9245.707707721562
key_temperatures.S_over_Tn,140.00225468840995
key_temperatures.false_phase_key,1
key_temperatures.true_phase_key,0
gw_scales.gw_T_star_GeV,66.03970577687393
gw_scales.gw_alpha,0.050303797545713895
gw_scales.gw_beta_over_H,674.0417088136592
gw_scales.gw_R_star_times_H,0.004345701069861877
gw_scales.gw_nucleation_rate_GeV4,3.4030870034676964e-52
gw_scales.gw_dT_for_beta_GeV,0.01907668136278869
gw_scales.gw_f_sw_peak_mHz,8.55014504566026
gw_scales.gw_f_turb_peak_mHz,12.150206117517211
gw_scales.gw_f_coll_peak_mHz,1.7050289243100283
gw_scales.gw_f_sw_peak_Hz,0.00855014504566026
gw_scales.gw_f_turb_peak_Hz,0.012150206117517211
gw_scales.gw_f_coll_peak_Hz,0.0017050289243100284
gw_scales.gw_g_star,106.75
gw_scales.gw_v_w,1.0
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.dT_fraction,0.001
gw_run_parameters.include_sw,True
gw_run_parameters.include_turb,True
gw_run_parameters.include_coll,True
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.kappa_coll,
gw_run_parameters.beta_over_H_override,
gw_run_parameters.frequency_unit,mHz
gw_thermodynamics.T_star_GeV,66.03970577687393
gw_thermodynamics.alpha,0.050303797545713895
gw_thermodynamics.beta_over_H,674.0417088136592
gw_thermodynamics.R_star_times_H,0.004345701069861877
gw_thermodynamics.Gamma_Tstar_GeV4,3.4030870034676964e-52
gw_thermodynamics.dT_for_beta_GeV,0.01907668136278869
gw_thermodynamics.S3_Tn,9240.646603419613
gw_thermodynamics.S3_over_Tn,139.92561739509662
gw_thermodynamics.f_sw_peak_mHz,8.55014504566026
gw_thermodynamics.f_turb_peak_mHz,12.150206117517211
gw_thermodynamics.f_coll_peak_mHz,1.7050289243100283
gw_thermodynamics.f_sw_peak_Hz,0.00855014504566026
gw_thermodynamics.f_turb_peak_Hz,0.012150206117517211
gw_thermodynamics.f_coll_peak_Hz,0.0017050289243100284
gw_peaks.sw.f_peak_mHz,8.589482189280895
gw_peaks.sw.f_peak_Hz,0.008589482189280895
gw_peaks.sw.omega_peak,2.4025391461550347e-15
gw_peaks.turb.f_peak_mHz,14.523826108106428
gw_peaks.turb.f_peak_Hz,0.014523826108106428
gw_peaks.turb.omega_peak,1.745657798146453e-19
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,8.589482189280895
gw_peaks.total.f_peak_Hz,0.008589482189280895
gw_peaks.total.omega_peak,2.4026927662253924e-15
gw_peaks.total_no_turb.f_peak_mHz,8.589482189280895
gw_peaks.total_no_turb.f_peak_Hz,0.008589482189280895
gw_peaks.total_no_turb.omega_peak,2.4025391461550347e-15
gw_peaks.total_max_turb.f_peak_mHz,8.589482189280895
gw_peaks.total_max_turb.f_peak_Hz,0.008589482189280895
gw_peaks.total_max_turb.omega_peak,2.4026927662253924e-15
bounce_diagnostics.label,results_gw_C3p75_Lambda1000_D0_mh125
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-0.00029654637937136393
bounce_diagnostics.phi_absMin,240.38158937238387
bounce_diagnostics.phi_bar,116.87613642960704
bounce_diagnostics.phi_top,80.7877311677735
bounce_diagnostics.V(phi_meta),76823995.22882508
bounce_diagnostics.V(phi_true),56582691.59873384
bounce_diagnostics.V(phi_top),77855349.20453712
bounce_diagnostics.DeltaV_true_minus_meta,-20241303.630091235
bounce_diagnostics.r0,3.24763719764265e-06
bounce_diagnostics.phi0,232.448307520645
bounce_diagnostics.dphi0,-0.09383751835090329
bounce_diagnostics.rscale_cubic,0.0324763719764265
bounce_diagnostics.rscale_curv,0.029436675606326523
bounce_diagnostics.wall_r_hi,0.1095988852162254
bounce_diagnostics.wall_thickness,0.08122319040826614
bounce_diagnostics.S_total,9240.646603419613
bounce_diagnostics.S_kin,13858.659836152416
bounce_diagnostics.S_pot,-4618.013232732804
bounce_diagnostics.S_interior,0.0
bounce_diagnostics.S3_over_T,nan
bounce_diagnostics.beta_rscale,30.791616770674576
bounce_diagnostics.beta_curvature,33.971223001556055
bounce_diagnostics.beta_wall,12.31175474607101
bounce_diagnostics.Tn_from_transitionFinder_GeV,66.03970577687393
bounce_diagnostics.Tc_from_transitionFinder_GeV,86.68294828422061
bounce_diagnostics.T_spinodal_high_GeV,46.96302441408524
bounce_diagnostics.T_spinodal_low_GeV,99.64150390625049
bounce_diagnostics.gw_T_star_GeV,66.03970577687393
bounce_diagnostics.gw_alpha,0.050303797545713895
bounce_diagnostics.gw_beta_over_H,674.0417088136592
bounce_diagnostics.gw_R_star_times_H,0.004345701069861877
bounce_diagnostics.gw_Gamma_Tstar_GeV4,3.4030870034676964e-52
bounce_diagnostics.gw_dT_for_beta_GeV,0.01907668136278869
bounce_diagnostics.gw_f_sw_peak_Hz,0.00855014504566026
bounce_diagnostics.gw_f_turb_peak_Hz,0.012150206117517211
bounce_diagnostics.gw_f_coll_peak_Hz,0.0017050289243100284
bounce_diagnostics.gw_g_star,106.75
bounce_diagnostics.gw_v_w,1.0
bounce_diagnostics.omega_sw_peak,2.4025391461550347e-15
bounce_diagnostics.omega_turb_peak,1.745657798146453e-19
bounce_diagnostics.omega_coll_peak,nan
bounce_diagnostics.omega_tot_peak,2.4026927662253924e-15
bounce_settings.xguess,
bounce_settings.phitol,1e-05
bounce_settings.thinCutoff,0.0001
bounce_settings.npoints,800
bounce_settings.alpha,2
bounce_settings.phi_eps,0.001
S3,9240.646603419613
S3_over_T,139.92561739509662
